add-yield-none,7,64,896, 223695, 249,88
add-none,7,64,896, 192254, 214,-22
add-yield-none,8,64,1024, 218389, 213,86
add-none,8,64,1024, 207249, 202,-6
add-yield-none,10,64,1280, 272131, 212,-36
add-none,10,64,1280, 273396, 213,0
add-yield-none,12,64,1536, 315506, 205,56
add-none,12,64,1536, 279564, 182,6
add-yield-none,1,128,256, 128599, 502,0
add-none,1,128,256, 96306, 376,0
add-yield-none,2,128,512, 160907, 314,15
add-none,2,128,512, 94896, 185,0
add-yield-none,3,128,768, 185568, 241,50
add-none,3,128,768, 116482, 151,13
add-yield-none,4,128,1024, 210591, 205,46
add-none,4,128,1024, 122093, 119,0
add-yield-none,5,128,1280, 243647, 190,54
add-none,5,128,1280, 171966, 134,4
add-yield-none,6,128,1536, 254572, 165,161
add-none,6,128,1536, 203824, 132,13
add-yield-none,7,128,1792, 282334, 157,20
add-none,7,128,1792, 220323, 122,-51
add-yield-none,8,128,2048, 306759, 149,124
add-none,8,128,2048, 244983, 119,18
add-yield-none,10,128,2560, 346920, 135,73
add-none,10,128,2560, 275109, 107,-45
add-yield-none,12,128,3072, 397414, 129,202
add-none,12,128,3072, 406113, 132,13
add-yield-none,1,256,512, 213448, 416,0
add-none,1,256,512, 92815, 181,0
add-yield-none,2,256,1024, 273997, 267,10
add-none,2,256,1024, 129691, 126,19
add-yield-none,3,256,1536, 304978, 198,29
add-none,3,256,1536, 146337, 95,42
add-yield-none,4,256,2048, 287582, 140,123
add-none,4,256,2048, 166251, 81,-194
add-yield-none,5,256,2560, 342519, 133,-107
add-none,5,256,2560, 199530, 77,149
add-yield-none,6,256,3072, 377648, 122,101
add-none,6,256,3072, 258898, 84,46
add-yield-none,7,256,3584, 393258, 109,-2
add-none,7,256,3584, 241002, 67,122
add-yield-none,8,256,4096, 401585, 98,105
add-none,8,256,4096, 301748, 73,-30
add-yield-none,10,256,5120, 555004, 108,-12
add-none,10,256,5120, 334013, 65,166
add-yield-none,12,256,6144, 555676, 90,-484
add-none,12,256,6144, 400230, 65,88
add-yield-none,1,512,1024, 326165, 318,0
add-none,1,512,1024, 108029, 105,0
add-yield-none,2,512,2048, 541109, 264,-4
add-none,2,512,2048, 172912, 84,5
add-yield-none,3,512,3072, 546555, 177,-14
add-none,3,512,3072, 252526, 82,-193
add-yield-none,4,512,4096, 541464, 132,-37
add-none,4,512,4096, 297036, 72,-64
add-yield-none,5,512,5120, 603790, 117,-50
add-none,5,512,5120, 337238, 65,-213
add-yield-none,6,512,6144, 621415, 101,-158
add-none,6,512,6144, 387208, 63,-27
add-yield-none,7,512,7168, 656552, 91,-259
add-none,7,512,7168, 446995, 62,-29
add-yield-none,8,512,8192, 647045, 78,236
add-none,8,512,8192, 513279, 62,13
add-yield-none,10,512,10240, 855078, 83,135
add-none,10,512,10240, 575823, 56,236
add-yield-none,12,512,12288, 948115, 77,-347
add-none,12,512,12288, 566761, 46,-18
add-yield-none,1,1024,2048, 682317, 333,0
add-none,1,1024,2048, 165831, 80,0
add-yield-none,2,1024,4096, 828562, 202,-41
add-none,2,1024,4096, 305640, 74,-125
add-yield-none,3,1024,6144, 984343, 160,-167
add-none,3,1024,6144, 341489, 55,111
add-yield-none,4,1024,8192, 870421, 106,-38
add-none,4,1024,8192, 476875, 58,-15
add-yield-none,5,1024,10240, 924654, 90,-138
add-none,5,1024,10240, 552602, 53,-197
add-yield-none,6,1024,12288, 1094728, 89,-503
add-none,6,1024,12288, 677971, 55,198
add-yield-none,7,1024,14336, 1204742, 84,-355
add-none,7,1024,14336, 719999, 50,-18
add-yield-none,8,1024,16384, 1249269, 76,-309
add-none,8,1024,16384, 817477, 49,-12
add-yield-none,10,1024,20480, 1415821, 69,-130
add-none,10,1024,20480, 993631, 48,258
add-yield-none,12,1024,24576, 1830237, 74,98
add-none,12,1024,24576, 1233298, 50,151
add-yield-none,1,2048,4096, 1212110, 295,0
add-none,1,2048,4096, 251343, 61,0
add-yield-none,2,2048,8192, 1915776, 233,-118
add-none,2,2048,8192, 357347, 43,-194
add-yield-none,3,2048,12288, 2039064, 165,-67
add-none,3,2048,12288, 757210, 61,-689
add-yield-none,4,2048,16384, 1949688, 118,-789
add-none,4,2048,16384, 953857, 58,181
add-yield-none,5,2048,20480, 2078929, 101,-557
add-none,5,2048,20480, 1117532, 54,-247
add-yield-none,6,2048,24576, 1723701, 70,-157
add-none,6,2048,24576, 1251390, 50,-624
add-yield-none,7,2048,28672, 2344668, 81,-903
add-none,7,2048,28672, 1368696, 47,-634
add-yield-none,8,2048,32768, 2345037, 71,-750
add-none,8,2048,32768, 1540499, 47,-441
add-yield-none,10,2048,40960, 2945413, 71,-1373
add-none,10,2048,40960, 1933430, 47,-550
add-yield-none,12,2048,49152, 3352011, 68,-682
add-none,12,2048,49152, 2325900, 47,72
add-yield-none,1,4096,8192, 2338449, 285,0
add-none,1,4096,8192, 469524, 57,0
add-yield-none,2,4096,16384, 3076102, 187,-151
add-none,2,4096,16384, 888241, 54,-174
add-yield-none,3,4096,24576, 3071371, 124,87
add-none,3,4096,24576, 1423111, 57,-930
add-yield-none,4,4096,32768, 3820998, 116,-1467
add-none,4,4096,32768, 1687660, 51,-1968
add-yield-none,5,4096,40960, 3255810, 79,98
add-none,5,4096,40960, 1919621, 46,-1112
add-yield-none,6,4096,49152, 4211436, 85,-1806
add-none,6,4096,49152, 2341474, 47,-1157
add-yield-none,7,4096,57344, 4342538, 75,-1922
add-none,7,4096,57344, 2869750, 50,-2335
add-yield-none,8,4096,65536, 4866580, 74,-1893
add-none,8,4096,65536, 3210972, 48,-1933
add-yield-none,10,4096,81920, 6143905, 74,-1881
add-none,10,4096,81920, 3955407, 48,-1725
